andik	write
cúraang	play a musical instrument
cúram	be upside down
cúrik	put upside down
dóodoor	knock
éegam	lean
eerek	show
ganiir	converse
garam	lie on the back
gi	go
há	give
háraamb	climb
héendaheend	console
hiimbaar	get excited
hiriit	breathe heavily
hirik	push
iicar	site down
íihuut	hurry up
iim		refuse
íitab	answer a call
jáandajaand	walk around
káambakaamb	crawl
kácaang	chew
kámat	catch
kárab	wash hands
karag	press
kat	cut
kiing	open
kómaang	knock
kor work
mur	light
naang	harp
nó	drink
pfú	die
pfúumbat	hold in the hand
rer	educate
réreemb	float
rigit	disappear underground
ríriimb	sing
rúmaang	eat hard food
ryáam	go to bed
sáandaar	get broken
sab	ask
sámir	catch
se	grind
shímuut	steal cows
shyir	put
siinziir	sleep
som	read
sútam	sit in an uncomfortable position
táakar	get lost
takaamb	scream for mercy
támir	put in the mouth
tanag	make arrows
tá	throw
teets	cook
tigit	tremble
titir	tremble
tsiriit	press the skin
úubak	build
vúg	talk
vún	break
